Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
98,726,726.000,3369,10786,13222,13727,15505,18342,22608,29272,45857,725,1,29272,13222,13727,15505,18342,22608
99,660,660.000,5259,11028,13547,15098,16016,19684,24119,78041,88661,659,1,78041,13547,15098,16016,19684,24119
100,701,701.000,2951,10922,13356,14269,16102,19019,23236,37502,62875,700,1,37502,13356,14269,16102,19019,23236
101,728,728.000,3214,11123,13197,13727,15657,17895,20979,29586,33171,727,1,29586,13197,13727,15657,17895,20979
102,718,718.000,3250,10943,13345,13882,15836,18666,22363,28556,36292,717,1,28556,13345,13882,15836,18666,22363
103,729,729.000,3010,10748,13150,13692,15910,18394,21299,27897,38003,728,1,27897,13150,13692,15910,18394,21299
104,542,542.000,3924,12435,15004,18468,18991,25956,35325,81139,89521,541,1,81139,15004,18468,18991,25956,35325
105,636,636.000,3585,11632,14233,15752,16718,21866,28456,70988,91288,635,1,70988,14233,15752,16718,21866,28456
106,610,610.000,2862,11388,14383,16329,17540,22789,27512,87964,108028,610,0,87964,14383,16329,17540,22789,27512
107,696,696.000,2568,11001,13552,14442,16423,20251,22948,35629,46687,695,1,35629,13552,14442,16423,20251,22948
108,646,646.000,3963,11164,13567,15396,16277,19351,24440,88406,102600,646,0,88406,13567,15396,16277,19351,24440
109,715,715.000,2530,10952,13435,13990,16123,18761,22302,29308,40475,714,1,29308,13435,13990,16123,18761,22302
110,696,696.000,2666,11037,13507,14306,16365,19662,24346,33360,39669,695,1,33360,13507,14306,16365,19662,24346
111,708,708.000,2955,11060,13647,14124,16185,19190,21723,28363,36437,707,1,28363,13647,14124,16185,19190,21723
112,647,647.000,2854,11341,13841,15448,16605,19317,24308,81099,111972,646,1,81099,13841,15448,16605,19317,24308
113,711,711.000,4308,11031,13409,14058,16047,19542,22371,28572,37564,711,0,28572,13409,14058,16047,19542,22371
114,718,718.000,2649,10968,13251,13860,15796,18340,20549,30307,47123,717,1,30307,13251,13860,15796,18340,20549
115,674,674.000,2615,10922,13336,14830,16018,19297,23640,77952,85001,673,1,77952,13336,14830,16018,19297,23640
116,693,693.000,3792,11156,13595,14432,16413,20081,22760,34030,48289,692,1,34030,13595,14432,16413,20081,22760
117,722,722.000,2606,10860,13158,13821,15894,18305,20732,28439,38061,721,1,28439,13158,13821,15894,18305,20732
118,690,690.000,2531,11158,13641,14483,16732,19509,24050,32931,38075,690,0,32931,13641,14483,16732,19509,24050
119,716,716.000,2892,10820,13297,13716,15919,18126,21260,27490,36705,715,1,27490,13297,13716,15919,18126,21260
